#LIBRARY    ENDF/B-VIII.0
#REACTION   IN-115(N,P)CD-115,SIG
#NUCLEUS    In-115
#MF         3
#MT         103
#EN-MIN     1e+06
#EN-MAX     2e+07
#E,eV        Sig,b        Interpolation
 1.14871E+07 0.00296128   Lin-Lin
 1.16153E+07 0.00319769   Lin-Lin
 1.17527E+07 0.00347197   Lin-Lin
 1.18764E+07 0.00373887   Lin-Lin
 1.2E+07     0.0040263    Lin-Lin
 1.22344E+07 0.00437957   Lin-Lin
 1.24258E+07 0.00469094   Lin-Lin
 1.26309E+07 0.00504916   Lin-Lin
 1.2877E+07  0.00551532   Lin-Lin
 1.3E+07     0.0057643    Lin-Lin
 1.33346E+07 0.00624853   Lin-Lin
 1.36693E+07 0.00677344   Lin-Lin
 1.4E+07     0.00728025   Lin-Lin
 1.40358E+07 0.00731343   Lin-Lin
 1.4384E+07  0.00782484   Lin-Lin
 1.45E+07    0.00800313   Lin-Lin
 1.5E+07     0.0087051    Lin-Lin
 1.55E+07    0.0093317    Lin-Lin
 1.6E+07     0.0100034    Lin-Lin
 1.64645E+07 0.0105934    Lin-Lin
 1.7E+07     0.0111871    Lin-Lin
 1.8E+07     0.0120937    Lin-Lin
 1.9E+07     0.0126867    Lin-Lin
 2E+07       0.0129493    Lin-Lin
#END
